3188735071,2015/5/8 12:08,Pseud @ Woodo,Eastern Time (US & Canada),"New Jersey, USA"
3238988493,2015/5/6 15:44,stephania ortez,,"Gainesville, GA"
2257713402,2013/12/22 13:22,Janis,,
376991916,2011/9/20 20:50,Doctor Nov,Central Time (US & Canada),Parts Unknown
15744134,2008/8/6 1:03,Daniel Schuman,Tehran,"Washington, DC"
1609094466,2013/7/20 21:57,fuck the people.e???e???,,Where I Wanna Be. a??????
4613522715,2015/12/26 18:56,Adam Boyle,,
244040202,2011/1/28 11:12,3nooona,,
2358553202,2014/2/23 21:55,Blaire???,,
4871181801,2016/2/2 6:54,Towel Enthusiast,,
290798022,2011/4/30 23:16,Jackson Quinn White,,
2294477167,2014/1/16 13:46,Gautam,,"Goa, India"
3652072053,2015/9/14 10:40,Dental Review,,"London, England"
308743404,2011/5/31 22:50,$hane $,Central Time (US & Canada),Probably by the cheese
1677037832,2013/8/17 1:27,YRNa?????,Atlantic Time (Canada),Around a?????
825399199,2012/9/15 14:50,GOAT stob??,Atlantic Time (Canada),
2190339930,2013/11/12 13:22,M V MOHAN,,BANGALORE
135081980,2010/4/20 8:31,??????????????2???????????????????? ?????????????Ι»????????τσ ??,Pacific Time (US & Canada),Mumbai-Kathmandu 
27757215,2009/3/30 23:15,StarDust Dolittle,Eastern Time (US & Canada),"West Virginia, USA"
18734028,2009/1/7 19:26,Megh Plunkett,Eastern Time (US & Canada),Philadelphia
872706726,2012/10/11 0:16,Garett Bauserman,,
2560114934,2014/6/10 23:33,Cartonise,,country of greed
2856543858,2014/10/15 10:20,IndianEconomy,,"New Delhi, Delhi"
985810788,2012/12/3 2:57,mk dray,Central Time (US & Canada),"Wisconsin, USA"
43663421,2009/5/31 8:39,Raman Malik BJP,New Delhi,Gurgaon
66014122,2009/8/16 0:42,Moan,Berlin,"Hamburg, Germany"
401017028,2011/10/29 22:43,???tasha???,Quito,North Pole
271540740,2011/3/24 18:29,NBTP,Athens,Utrecht
2894060057,2014/11/27 1:24,Waudy G,Eastern Time (US & Canada),21218
180564613,2010/8/19 23:15,Glo,Quito,"Queens Ny, & Orlando "
3287258396,2015/7/22 6:39,DJ,,
376123599,2011/9/19 10:33,KAUSHAL KISHORE,,"New Delhi, India"
158598050,2010/6/23 3:26,Kimberly Reese,Pacific Time (US & Canada),"College Park, MD"
2830104307,2014/9/24 15:32,Cloude Hoppa420,Pacific Time (US & Canada),cloudhopper420@riseup.net
8632762,2007/9/3 23:02,(((Jonathan Mann))),Tehran,Jersey City
391011687,2011/10/14 22:20,The Breaking News,Pacific Time (US & Canada),Estados Unidos
1282578348,2013/3/20 7:20,Petty Yo,,
2505047615,2014/4/23 23:58,Dec.13th e???,Atlantic Time (Canada),
3154943103,2015/4/11 2:10,sierra,,
102840829,2010/1/8 0:59,Adam Gallagher,London,"Middlesbrough, England"
248120392,2011/2/6 8:50,boneexpert,Muscat,Follows you
77293293,2009/9/25 19:41,Jeanette T.,Central Time (US & Canada),The TARDIS
4706442085,2016/1/4 1:47,Omar Alessa,,Intellectual Limbo
4765301232,2016/1/16 0:02,mads e??a,,some soccer field
780991700,2012/8/25 20:02,.,Eastern Time (US & Canada),nyc/seattle
931739257,2012/11/7 10:24,The Iris,Eastern Time (US & Canada),"Bronx, NY"
735238345,2012/8/3 17:26,glucose father,Atlantic Time (Canada),
313556067,2011/6/8 20:57,Za?????Ea?????a???,Quito,
337839687,2011/7/18 17:23,Julia ,Quito,Southern Maryland
1466270269,2013/5/29 3:00,Mr. Carlos Lopez,,"Chicago, IL"
397284969,2011/10/24 13:49,Shreenivas Bikkad,Chennai,Mumbai
2254207188,2013/12/19 23:51,Fran,,
541264819,2012/3/31 1:28,Andrew,,
102432925,2010/1/6 17:46,Rafilsky,Brasilia,"Rio de Janeiro, Brasil"
1852921202,2013/9/11 1:04,taylor a??,Eastern Time (US & Canada),Ohio State University
17268481,2008/11/9 13:53,(((annfinster))),Eastern Time (US & Canada),Guest on Muwekma Ohlone Traditional Land
339056433,2011/7/20 14:33,Jim Casale,Eastern Time (US & Canada),"Orlando, FL"
312665420,2011/6/7 13:43,WONTSTOPa??,Central Time (US & Canada),in the clouds
483211535,2012/2/4 19:19,Mare,Eastern Time (US & Canada),"Pennsylvania, USA"
24001196,2009/3/12 18:35,Dianne,Eastern Time (US & Canada),Indiana
726556154,2012/7/30 18:07,Ben,Atlantic Time (Canada),Pittsburgh
1620706465,2013/7/25 15:50,TrapMayo a?1a?????,Midway Island,33 Pippen Block 
19052376,2009/1/16 3:13,Derrick Sanskrit KC,Eastern Time (US & Canada),"Brooklyn, New York"
369255767,2011/9/7 1:37,Nicholas Wolfe,Central Time (US & Canada),
1635369355,2013/7/31 12:12,Kalpesh Shah,Mumbai,Solapur
2907725794,2014/12/6 12:51,a?oHasan Arshada???,Pacific Time (US & Canada),"Karachi, Pakistan"
197240143,2010/10/1 0:16,#MisandryIsReal,America/Chicago,Chicago
75184478,2009/9/18 2:58,Tamara Davis,Central Time (US & Canada),MN lakes to TN mountains
